epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,7683.458757712998,87.65534060041415,57.924511537766406,43.92932027961134,2.5e-05
2,3976.4083629240295,63.058769099881246,54.79751574594563,40.51009806036761,5e-05
3,3442.1701004659626,58.67000994293672,48.59758277981219,33.22162427214657,7.500000000000001e-05
4,2628.586994946998,51.26974726139272,39.35927204108186,22.984425892580813,0.0001
5,1743.3959721065135,41.75399360250874,29.03867250041293,18.064585250813167,0.000125
6,1100.75387850148,33.177610994813044,24.559068191432694,19.225894675071476,0.00015000000000000001
7,860.7023952047467,29.337729858886817,23.592457040687496,23.688784077653573,0.000175
8,733.7842054032853,27.088451524611497,23.84554025770008,26.124406638287716,0.0002
9,693.1626637080606,26.327982529304872,24.703885138426834,25.903721302726936,0.00022500000000000002
10,589.6029257118377,24.281740586803974,30.204379183528552,36.812252052501755,0.00025
11,501.41803880692584,22.392365679824326,28.874417685153837,34.512785663570554,0.00027499999999999996
12,411.48054668679094,20.284983250212743,28.657286243661154,35.28573344746369,0.00030000000000000003
13,332.5861905247867,18.236945740632592,27.760425101810423,35.85834698063917,0.00032500000000000004
14,297.9490681441465,17.26120124300201,30.255823052804622,36.85797141306123,0.00035
15,232.95212213265614,15.262769106130747,26.54039118302256,29.543062330975424,0.000375
16,215.28341744332909,14.672539537012925,27.26094978326348,28.008241999120198,0.0004
17,182.9954068304834,13.527579490252785,29.323370444171317,32.56226129055488,0.00042500000000000003
18,173.1211652699155,13.15755164313088,31.239877073194442,33.102118444484475,0.00045000000000000004
19,148.24241243586795,12.175484048026819,31.097274479667508,37.49004133413827,0.000475
20,143.43998068607397,11.976643141634392,29.628246817111126,29.130402582033124,0.0005
21,134.430857154201,11.594432177701162,29.558790667252786,32.32929737154197,0.0004999842956602978
22,132.62137507494563,11.516135408624955,27.854890794988997,30.411071899836273,0.0004999371846181554
23,119.30379191192586,10.922627516138522,28.05041672834367,33.10518316951125,0.0004998586728042166
24,120.10467330610325,10.959227768423247,29.286183143044614,31.413342335239285,0.000499748770102058
25,107.96869279493137,10.390798480159557,31.451222005866917,33.777373530414366,0.0004996074903469452
26,106.53225672579804,10.321446429422046,28.589777143803715,28.187841426193234,0.0004994348513240909
27,103.4966655387483,10.173331100981155,27.982444699885257,31.32117332252652,0.0004992308747664155
