epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,10035.065859449163,100.17517594765697,91.2424694312166,79.0546611445874,2e-06
2,9389.678294231691,96.90035224512518,91.16498197550777,78.97344347447442,4e-06
3,9370.32174895306,96.80042238448708,91.01135226400967,78.81238662123299,6e-06
4,9332.613353482096,96.60545183829737,90.77767950653627,78.5674363820781,8e-06
5,9279.640481076582,96.33089065584566,90.459541645207,78.23387118770826,1e-05
6,9211.490096091093,95.97650781534311,90.05194731469514,77.80642582848117,1.2e-05
7,9123.130561176182,95.51508030671299,89.5485899311819,77.27844471666916,1.4e-05
8,9022.402933194813,94.9863303392628,88.94208191286103,76.64199130796968,1.6e-05
9,8901.289594004627,94.3466456896994,88.2235933717232,75.88780798934779,1.8e-05
10,8757.101130922878,93.57938437860288,87.38301714444715,75.00501267792497,2e-05
11,8592.081684690442,92.69348258589959,86.40994066524915,73.98264598450186,2.2000000000000003e-05
12,8403.839113549166,91.6724555264692,85.29165334046887,72.80698758972791,2.4e-05
13,8190.360979479595,90.50061313471667,84.0157879973475,71.46482742546573,2.6000000000000002e-05
14,7960.863395932939,89.22367087080477,82.57044228945789,69.94371570174296,2.8e-05
15,7690.178612941334,87.69366334204157,80.93939134622829,68.2284692536366,3e-05
16,7384.398941888621,85.93252538055772,78.95476720760037,66.21035767363067,3.2e-05
17,7052.959734932153,83.98190096219486,76.83328626807236,63.957210186868174,3.4e-05
18,6680.372438580314,81.7335452417862,74.41104886871189,61.395577409583154,3.6e-05
19,6274.143134852921,79.20948897379687,71.71311364946817,58.53671318365611,3.8e-05
20,5844.443919308945,76.44896280213719,68.73455524043796,55.37017403187429,4e-05
21,5391.9834944637,73.4301267954014,65.45970766539057,51.872995078976565,4.2000000000000004e-05
22,4916.904339673483,70.12064124108001,61.86164559061903,47.99070139312187,4.4000000000000006e-05
23,4428.50550279179,66.54701729036024,57.96422014202338,43.64468008903952,4.6e-05
24,3922.79947950787,62.63225577647542,53.7628900646452,38.88378447083364,4.8e-05
25,3406.2771766118803,58.36332050196156,49.29667178389599,33.825431702694054,5e-05
26,2917.207816455383,54.01118250977817,44.557737305364135,28.523278607150257,5.2000000000000004e-05
27,2453.7452401558853,49.53529276240284,39.66099080370013,23.240982318261555,5.4000000000000005e-05
28,2017.1986397730475,44.91323461184656,34.800168293762404,18.44081535369726,5.6e-05
29,1652.9059700281991,40.65594625158802,30.163504356803834,15.332920469843083,5.800000000000001e-05
30,1339.7940942477449,36.60319789255368,26.311857084609947,14.463320307087226,6e-05
31,1118.9115540762696,33.45013532648047,23.217896090709502,15.160046710031157,6.2e-05
32,970.5593635481225,31.153801639669467,22.00703485987992,17.26165901155442,6.4e-05
33,882.3304649095314,29.704047927223304,21.307757674653743,19.59820506455438,6.6e-05
34,824.2715700009363,28.710130074739364,20.464400261349663,20.675849652102478,6.8e-05
35,781.9811914379239,27.96392655045245,21.3435720208608,22.922836225893704,7.000000000000001e-05
36,764.1647820494973,27.643530590802378,20.620654708669722,24.723432888967547,7.2e-05
37,740.6614629508441,27.21509621322556,20.10391027078722,24.387990800996494,7.400000000000001e-05
38,727.5944802877449,26.973959307516438,21.111507300044874,26.957003591156234,7.6e-05
39,726.0813091390637,26.945896018904442,21.955561809371087,28.28243028251074,7.8e-05
40,701.9017989155085,26.493429378040968,20.82881747143954,25.266157200513952,8e-05
41,705.1850791238888,26.555321138073435,21.05013877337351,25.4372021543985,8.2e-05
42,701.3348642643018,26.48272761337121,21.367207803592603,25.82106258800567,8.400000000000001e-05
43,683.0333858393725,26.134907487870663,21.66923615456215,27.64910838081217,8.6e-05
44,682.3542758098802,26.12191182170112,21.672159130248506,27.11416961039421,8.800000000000001e-05
45,665.5684489360406,25.79861330888398,22.4576733265095,27.974426448251823,9e-05
46,664.1133375533745,25.770396521414416,22.911981196901447,32.28614621087967,9.2e-05
47,646.4818788294117,25.42600787513261,22.829990410518594,31.075080842821688,9.400000000000001e-05
48,640.4665666955453,25.30744083908112,22.452830472761665,30.390305963073796,9.6e-05
49,621.3449265430476,24.92679130540638,22.546194053969177,31.51585973856024,9.8e-05
50,615.648818019749,24.812271503333182,23.07910604621696,31.014527897472444,0.0001
51,614.1723912711876,24.782501778382507,22.74365670805114,32.20708686444527,0.00010200000000000001
52,598.3624361803351,24.461447983709622,23.9588764249178,35.319623883885946,0.00010400000000000001
53,593.7463628676729,24.36691118358917,22.658608760025174,33.61232255991857,0.000106
54,592.2001559880138,24.335162912038225,23.167011789577195,33.7789928506806,0.00010800000000000001
55,568.0644164923182,23.83410193756714,22.970347383743658,30.784232307855827,0.00011000000000000002
56,548.9468168082583,23.42961405892435,22.221450428795997,32.22889359128306,0.000112
57,536.336063039481,23.158930567847698,24.38103265777408,35.326945055841904,0.000114
58,543.4088770852286,23.31113202276952,23.285230161606545,33.19630451285604,0.00011600000000000001
59,518.5718853973661,22.772173530555076,23.228881901407075,33.44146436052512,0.000118
60,509.3044089767037,22.567773656677545,21.582807687425003,31.684113760014586,0.00012
61,479.25818071228804,21.891966169772278,23.491629655907573,35.43966647023246,0.00012200000000000001
62,477.1030917008102,21.842689698424568,23.56350837321173,33.546012390701804,0.000124
63,492.49107698944965,22.192140029674018,22.538529523555617,32.62252054201796,0.000126
64,483.0476433158194,21.978344906892737,24.039324621367243,35.61902787618974,0.000128
65,462.91807723816754,21.515531117618316,22.20901466731205,32.6455734165893,0.00013000000000000002
66,452.46257399154723,21.271167627243376,21.671100822111505,32.25226324679398,0.000132
67,465.84061308218685,21.583341079511992,22.863521457761344,35.11570286890626,0.000134
68,460.20966258900387,21.452497757281176,23.278360329887537,37.00820690107908,0.000136
69,436.8051095483763,20.899883068602243,24.3247111136774,37.51906919727205,0.00013800000000000002
70,420.8952769860466,20.515732397676125,23.574770744739375,35.05970176312557,0.00014000000000000001
71,418.12381388233695,20.4480760047932,23.50016190953799,37.50650588135872,0.000142
72,414.742162508467,20.365219403111265,22.777526539530893,37.36628316105944,0.000144
73,408.85233467849844,20.220097356989577,22.91655718066937,35.74389799674814,0.000146
74,397.7258102432684,19.943064133067747,23.526333594964,35.32318460173984,0.00014800000000000002
75,395.37611066988586,19.884066760603048,26.458777611972952,37.777930728557436,0.00015000000000000001
76,381.97719291214435,19.544236843006825,21.479256127032336,35.161471129900974,0.000152
77,377.0328462376039,19.417333669387844,24.272245746020538,38.178418190974085,0.000154
78,368.0463443910309,19.18453396065123,22.476201907717567,33.24838021364352,0.000156
79,359.22722632552467,18.953290605212295,26.01996715298947,36.614111016119125,0.00015800000000000002
80,361.1671343702991,19.00439774172278,23.392775198431664,35.10012861110556,0.00016
81,339.19171156580336,18.41715808017672,23.253189844934532,34.87251253789583,0.00016199999999999998
82,349.962468733545,18.70728384459641,24.213543567297023,34.8261666909563,0.000164
83,323.18599170352564,17.977374417472173,24.707548989021422,37.402031951971864,0.000166
84,325.29207054194313,18.03585509665128,23.37630333118604,34.77216666874551,0.00016800000000000002
85,329.8823492778799,18.16266357911604,22.008320552930726,35.683682806750866,0.00017
86,307.3745205425573,17.532099765090354,24.884498794755356,38.25843247927657,0.000172
87,300.91777771638266,17.346981833547716,24.85231451493234,38.0694687345407,0.00017400000000000003
88,297.7040137879485,17.254101381346455,24.58060093805674,34.880317609123146,0.00017600000000000002
89,291.0289991034915,17.05957207817524,22.95021641817262,36.940188847325025,0.000178
90,294.2547129861973,17.15385417668881,22.506101167765326,34.34074796900656,0.00018
