epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,7232.9438673559125,85.04671571745226,38.48945951306729,22.82975116822352,2e-06
2,2155.60737482757,46.42851893922308,37.41656989182777,21.620398949762972,4e-06
3,2039.6979112428216,45.16301482569707,35.450946008738704,19.691235044139443,6e-06
4,1856.816658685728,43.09079548603265,32.56845164401441,17.643673436963073,8e-06
5,1620.7141754003126,40.258094448827606,29.179845482319354,16.153416187787364,1e-05
6,1396.3829708408682,37.36820795085585,25.741237815641828,15.715442565598389,1.2e-05
7,1182.5977554725664,34.38891903680253,23.257612366236113,17.163400690952983,1.4e-05
8,1046.3160335883886,32.3468087486181,22.08967466111723,20.544421887700032,1.6e-05
9,959.1608706090224,30.970322398530655,21.125642304602042,21.834507235712614,1.8e-05
10,893.310360843552,29.888298134521325,22.09350631286747,22.84911071496477,2e-05
11,854.5465480387093,29.232628178004866,21.464780675134513,23.352330398408025,2.2000000000000003e-05
12,848.6188747278356,29.13106367893457,21.570712215486807,25.522586085260677,2.4e-05
13,820.5426820523094,28.645116304769637,23.3111955207634,29.44170186627056,2.6000000000000002e-05
14,798.050580183074,28.249789083253365,22.77945710117771,29.094280941993112,2.8e-05
15,786.4277799642687,28.043319715861102,22.418789938380122,28.429202394090392,3e-05
16,766.8909089407035,27.692795303095497,25.212157326483368,26.233341878582188,3.2e-05
17,760.3111423407634,27.573740119889194,22.934708939782386,26.830233840768763,3.4e-05
18,749.5253748362996,27.377461069376395,23.84758679937022,29.408447648144428,3.6e-05
19,710.2771689987817,26.65102565694307,24.026896083409962,29.723714817993372,3.8e-05
20,677.7194437854284,26.0330452098327,25.146080762389083,33.752688457244695,4e-05
21,639.3914772035502,25.28619137179027,27.106324386669645,36.296774199745535,4.2000000000000004e-05
22,629.2002474900505,25.083864318042576,24.028986809921154,30.862671995397232,4.4000000000000006e-05
23,579.3285108043766,24.06924415351551,26.445026738998227,36.51052886888274,4.6e-05
24,545.2500775094821,23.350590552157254,29.9859529761471,44.11858157518005,4.8e-05
25,527.0043007309193,22.956574270145836,26.752894099982452,39.742639942986266,5e-05
26,499.3294197675803,22.345680055516112,23.773533053884446,35.923469304552086,5.2000000000000004e-05
27,458.4853750089614,21.4122715617347,28.117276769309534,36.501405634559916,5.4000000000000005e-05
28,453.6500752155336,21.299062798018937,30.801987903929685,45.820900232756756,5.6e-05
29,414.17094046827566,20.35119014866598,33.36835504151413,47.47342146033567,5.800000000000001e-05
30,394.32395832456183,19.85759191824704,28.35658140143435,40.47766937908539,6e-05
31,379.9710207530926,19.492845386435054,22.729200623532055,35.897288512896324,6.2e-05
32,348.30448686279703,18.662917435746525,27.462980054393604,40.34543388863449,6.4e-05
33,326.26276524630293,18.06274516881818,24.55759066263737,38.368508372258425,6.6e-05
34,313.7222843162622,17.712207176350866,23.411743244319197,35.525807673036965,6.8e-05
35,300.3846684303401,17.33160895793069,24.654582298086652,31.63878826791697,7.000000000000001e-05
36,296.0182871124845,17.20518195996838,26.17661951470563,34.112871400794944,7.2e-05
37,280.3249214533886,16.74290658881202,27.52434619783515,39.239434040443115,7.400000000000001e-05
38,273.6720186457888,16.54303535636969,22.45983189150684,31.556051239045733,7.6e-05
39,259.9823874778437,16.123969309595513,25.237257930118236,32.87214176911544,7.8e-05
