epoch,train_loss,train_rmse,val_rmse,test_rmse,learning_rate
1,10198.347331553205,100.98686706604904,93.28074314958477,81.18872938893911,2e-06
2,9775.865086820662,98.87297464452737,93.2307337337946,81.13635899341425,4e-06
3,9763.062549287784,98.80821054895898,93.13233281841313,81.0333147211066,6e-06
4,9738.432733608644,98.68349797224134,92.98300740304018,80.87697087899309,8e-06
5,9705.011498654552,98.5140168281022,92.77982304614423,80.66427817467917,1e-05
6,9662.325912302973,98.29713072303221,92.51958969569938,80.39181046114517,1.2e-05
7,9604.203160304885,98.00103669969133,92.19801315331176,80.05501041465632,1.4e-05
8,9538.324749520718,97.66434740590057,91.80993767958402,79.64850862319115,1.6e-05
9,9455.466361705587,97.23922259902486,91.34905014999276,79.16565485727227,1.8e-05
10,9361.797598788788,96.7563827488851,90.80842416239965,78.59903938094726,2e-05
11,9248.720618455076,96.170268859208,90.18064274538052,77.94083825052853,2.2000000000000003e-05
12,9124.283901806373,95.52111748261743,89.45746435563741,77.18225903651131,2.4e-05
13,8977.555101270173,94.74996106890616,88.6293781239251,76.31334117849427,2.6000000000000002e-05
14,8820.837690924496,93.91931445954567,87.68750293621254,75.32443295019094,2.8e-05
15,8642.93565433473,92.96739037547434,86.62125525406508,74.20431002738543,3e-05
16,8432.685549578875,91.82965517968417,85.4201867540996,72.94167867363858,3.2e-05
17,8202.726720676705,90.56890598328695,84.07386334518299,71.52554341689351,3.4e-05
18,7962.795490036451,89.23449707765275,82.57077911577845,69.9433351873899,3.6e-05
19,7673.376580917254,87.59781150132861,80.89989798824402,68.18334177905831,3.8e-05
20,7383.982766889487,85.93010406761802,79.05323470937253,66.23734747140954,4e-05
21,7049.821896198382,83.96321746654718,76.81570255764487,63.93294227205313,4.2000000000000004e-05
22,6676.181421379341,81.7079029509117,74.46255120523577,61.43656625169122,4.4000000000000006e-05
23,6297.317912540296,79.35564189457752,71.89541197249586,58.71932598727219,4.6e-05
24,5889.695214658342,76.74434986441588,69.07841930393661,55.730289246937666,4.8e-05
25,5459.149673402767,73.88605889902907,65.99948210694828,52.42598558816005,5e-05
26,4993.0632502481385,70.66161090636089,62.65442072427672,48.77031486471802,5.2000000000000004e-05
27,4541.323363688068,67.38934155214008,59.045982390892085,44.78854985720703,5.4000000000000005e-05
28,4077.7385198090537,63.857172885980766,55.19061192953414,40.38276245476326,5.6e-05
29,3599.1612824526837,59.99301038180655,51.04663792763306,35.73608028420169,5.800000000000001e-05
30,3125.9226811411036,55.90995148651679,46.694068727129014,30.887824500099164,6e-05
31,2687.678112029124,51.84282132812897,42.16055775491131,25.908857567961334,6.2e-05
32,2259.094108504893,47.52992844463172,37.61501156283632,21.127169763385986,6.4e-05
33,1886.9454441400997,43.438985278154504,33.17027549712734,17.26415661310443,6.6e-05
34,1572.5694638308012,39.6556360281919,29.22494552556628,15.031936861497627,6.8e-05
35,1327.1714691579762,36.43036473198346,26.50346740117669,14.822394548385592,7.000000000000001e-05
36,1150.341463776878,33.916684140222195,24.065780456072137,16.77355513394752,7.2e-05
37,1044.304259959377,32.31569671822076,22.82929844662603,18.355073912438517,7.400000000000001e-05
38,940.032318692222,30.659946453512948,22.841196635573944,20.005902428557853,7.6e-05
39,904.5998924176307,30.076567109545376,22.27029969256479,21.446426899520155,7.8e-05
40,867.1674565660096,29.447707124672792,22.61583850371756,22.91151139420801,8e-05
41,851.8360914132724,29.186231220426738,22.578166651664763,22.319911773174375,8.2e-05
42,836.4900295661038,28.922137354727475,22.312932859003,23.707010086062205,8.400000000000001e-05
43,805.2517751134392,28.376958377039458,22.271466701785414,24.39271532097918,8.6e-05
44,798.6389623919146,28.260201031885202,23.070173729205546,25.351638969420357,8.800000000000001e-05
45,773.2705009369314,27.807741731758643,23.01654652827807,26.398398423216875,9e-05
46,779.6721208788306,27.922609577127346,22.539272230166638,25.852579719821527,9.2e-05
47,744.9273219978062,27.29335670381534,24.288324430789228,28.126728884315742,9.400000000000001e-05
48,740.6267534534668,27.21445835455913,24.0819997109122,26.080648378097617,9.6e-05
49,737.5045397824647,27.15703485485236,23.64084096860845,28.410356231811093,9.8e-05
50,732.726953432083,27.068929591714056,23.529778503103703,27.75146444903045,0.0001
51,714.0828647340422,26.722329030548845,24.65711599763233,29.474330159065254,0.00010200000000000001
52,707.7652098778899,26.603857045283867,23.91591081624421,29.250136186005257,0.00010400000000000001
53,711.4783121776981,26.673550797978326,24.91724951068968,28.630178654339428,0.000106
54,697.2221726800112,26.404964953911744,25.13186462288945,29.163245860316312,0.00010800000000000001
55,702.0711980384698,26.496626116664928,25.02859772283556,30.54321669637089,0.00011000000000000002
56,672.4214571160744,25.931090497226855,25.75365787056102,32.03120385312867,0.000112
57,663.6602864609084,25.761604852216855,26.43105636060448,34.2321403687861,0.000114
58,656.512154030466,25.622493065845198,25.23050911035429,32.037185090243995,0.00011600000000000001
59,655.6890952188223,25.606426826668418,25.022310581204096,31.818702075564914,0.000118
60,646.2757227526239,25.42195352234876,25.650943254545385,31.30020997152507,0.00012
61,624.6351096593318,24.99270112313235,24.37338528675968,30.209140908691168,0.00012200000000000001
62,600.6540798262397,24.50824509160521,24.4314383588541,30.040430416992823,0.000124
63,604.1706006925474,24.579882075031716,26.429567024920726,35.62423163022397,0.000126
64,606.6764880912834,24.630803667909273,25.574816851712644,32.0061944512173,0.000128
65,576.6493955119842,24.01352526524717,26.064502074725482,35.257510974954826,0.00013000000000000002
66,564.0899165952973,23.75057719312299,27.180626708130024,36.22973482818161,0.000132
67,537.8995839044948,23.19266221664966,28.29548486709655,33.48015228427141,0.000134
68,518.4530563698512,22.769564199402623,27.24163100960583,34.348704848988405,0.000136
69,527.0769337208321,22.958156157560246,26.901297128581835,31.921843166148506,0.00013800000000000002
